Start Address,End Address,Size,Type
0x0000_0000,0x1FFF_FFFF,0x1FFF_FFFF,VeeR EL2 reserved space
0x3000_1000,0x3000_2000,0x0000_1000,i_axi_cdc_lsu
0x8000_0000,0x8001_F400,0x0001_F400,lmem0
0x9000_0000,0x9001_F400,0x0001_F400,lmem1
0x3000_0000,0x3000_1000,0x0000_1000,axi_bridge
